UK_Omeka;dcterms:creator;dcterms:abstract
253;Gosselin, Charles;Paris, 1834-Versailles, 1892
254;Goubie, Jean-Richard;Paris, 1842-Paris, 1899
255;Goupil, Jules;Paris, 1839-Neuilly sur Seine, 1883
256;Gratia, Charles-Louis;Rambervilliers, 1815-Montlignon, 1911
257;Groiseilliez, Marcelin de;Paris, 1837-?, 1880
258;Gros, Lucien;Wesserling, 1845-Poissy, 1913
259;Guay, Gabriel;Paris, 1848-Saint Leu la Foret, 1923
260;Gude, Hans Frederik;Oslo, 1825-Berlin, 1903
261;Guérin, Jean-Michel-Prosper;Paris, 1838-?, 1921
262;Guesnet, Louis;Fitz-James, 1843-Paris, 1907
263;Guillaumet, Gustave;Paris, 1840-Paris, 1887
264;Guillemet, Antoine;Chantilly, 1841-Mareuil sur Belle, 1918
265;Guillemin, Alexandre;Paris, 1817-Sermaise, 1880
266;Guillon, Adolphe;Paris, 1829-Paris, 1896
267;Guillou, Alfred;Concarneau, 1844-Paris, 1926
268;Haffner, Félix;Strasbourg, 1818-Mesnil Amelot, 1875
269;Hagborg, August;Gothembourg, 1852-Paris, 1921
270;Hamman, Édouard;Oostende, 1819-Paris, 1888
271;Hamon, Jean-Louis;Plouha, 1821-Saint-Raphael, 1874
272;Hanoteau, Hector;Decize, 1823-Briet, 1890
273;Haquette, Georges;Paris, 1853-Dieppe, 1906
274;Hareux, Ernest-Victor;Paris, 1847-Grenoble, 1909
275;Harpignies, Henri;Valenciennes, 1819-Saint Privé, 1916
276;Hébert, Ernest;La Tronche, 1817-La Tronche, 1908
277;Hédouin, Edmond;Boulogne sur Mer, 1820-Paris, 1889
278;Heilbuth, Ferdinand;Hamburg, 1826-Paris, 1889
279;Henneberg, Rudolf;Brunswick, 1825-Brunswick, 1876
280;Hennebicq, André;Tournai, 1826-Saint Gilles, 1904
281;Henner, Jean-Jacques;Bernwiller, 1829-Paris, 1905
282;Héreau, Jules;Paris, 1839-Paris, 1879
283;Hermann-Léon, Charles;Le Havre, 1838-Paris, 1908
284;Herpin, Léon;Granville, 1841-Paris, 1880
285;Hillemacher, Ernest;Paris, 1818-Paris, 1887
286;Hugrel, Pierre-Honoré;Paris, 1827-?, 1921
287;Huguet, Victor-Pierre;Le Lude, 1835-Paris, 1902
288;Humbert, Ferdinand;Paris, 1842-Paris, 1934
289;Imer, Édouard;Avignon, 1820-Harlem, 1881
290;Jacque, Charles-Émile;Paris, 1813-Paris, 1894
291;Jacquemart, Nélie;Paris, 1841-Paris, 1912
292;Jacquet, Gustave;Paris, 1846-Paris, 1909
293;Jalabert, Charles;Nîmes, 1818-Paris, 1901
294;Janet, Ange-Louis;Paris, 1815-Paris, 1872
295;Janmot, Louis;Lyon, 1814-Lyon, 1892
296;Japy, Louis;Berne, 1840-Paris, 1916
297;Jeannin, Georges;Paris, 1841-Paris, 1925
298;Jobbé-Duval, Félix;Carhaix, 1821-Paris, 1889
299;Jongkind, Johan Barthold;Lattrop, 1819-Saint Egrève, 1891
300;Jourdan, Adolphe;Nîmes, 1825-Nîmes, 1889
301;Jourdain, Roger;Louviers, 1845-Paris, 1918
302;Jundt, Gustave;Strasbourg, 1830-Paris, 1884
303;Kaemmerer, Hendrick;La Haye, 1839-Paris, 1902
304;Klagmann, Henri;Paris, 1845-?, 1871
305;Knaus, Ludwig;Wiesbaden, 1829-Berlin, 1910
306;Knyff, Alfred de;Anvers, 1819-Paris, 1885
307;Kreyder, Alexis;Andlau, 1839-Paris, 1912
308;Krug, Édouard;Drubec, 1829-Paris, 1901
309;Kuwasseg, Karl-Josef;Trieste, 1802-Nanterre, 1877
310;La Villette, Élodie;Strasbourg, 1842-Portivy, 1917
311;Laemlein, Alexandre;Hohenfeld, 1813-Pontlevoy, 1871
312;Lafond, Alexandre;Paris, 1815-Paris, 1901
313;Lalanne, Maxime;Bordeaux, 1827-Nogent-sur-Marne, 1886
314;Lambert, Louis-Eugène;Paris, 1825-Paris, 1900
315;Lambinet, Émile;Versailles, 1815-Bougival, 1877
316;Lamothe, Louis;Lyon, 1822-Paris, 1869
317;Lanoüe, Félix-Hippolyte;Versailles, 1812-Versailles, 1872
318;Lansyer, Emmanuel;Bouin, 1835-Paris, 1893
319;Lapierre, Louis-Émile;Paris, 1817-Paris, 1886
320;Lapostolet, Charles;Velars sur Ouche, 1824-Domène, 1890
321;Larcher, Jules;Choloy, 1849-?, 1883
322;Laugée, Désiré-François;Maromme, 1823-Paris, 1896
323;Laurens, Jules-Joseph-Augustin;Carpentras, 1825-Saint Didier, 1901
324;Laurens, Jean-Paul;Forquevaux, 1838-Paris, 1921
325;Lavieille, Eugène;Paris, 1820-Paris, 1889
326;Layraud, Joseph-Fortuné;La Roche sur le Buis, 1833-Valenciennes, 1913
327;Lazerges, Hippolyte;Narbonne, 1817-Mustapha, 1887
328;Le Blant, Julien;Paris, 1851-?, 1936
329;Le Gentile, Victor;Paris, 1815-Paris, 1889
330;Lebel, Edmond;Amiens, 1834-Amiens, 1908
331;Lecadre, Alphonse-Eugène-Félix;Nantes, 1842-Paris, 1875
332;Lechevallier-Chevignard, Edmond;Lyon, 1825-Paris, 1902
333;Leclaire, Victor;Paris, 1830-Paris, 1885
334;Lecointe, Charles-Joseph;Paris, 1824-Asnières, 1886
335;Lecomte-Vernet, Émile;Paris, 1821-Paris, 1900
336;Lecomte du Nouy, Jean-Antoine;Paris, 1842-Paris, 1923
337;Lefebvre, Jules;Tournan, 1834-Paris, 1911
338;Legras, Auguste;Perigueux, 1817-Paris, 1887
339;Legros, Alphonse;Dijon, 1837-Watford, 1911
340;Lehoux, Pierre-Adrien-Pascal;Paris, 1844-Paris, 1896
341;Leibl, Wilhelm;Cologne, 1844-Wurtzbourg, 1900
342;Leighton, Frédéric;Scarborough, 1830-Londres, 1896
343;Leleux, Armand;Paris, 1818-Paris, 1885
344;Leleux, Adolphe;Paris, 1812-Paris, 1891
345;Leloir, Louis;Paris, 1843-Paris, 1884
346;Leloir, Maurice;Paris, 1853-Paris, 1940
347;Lematte, Fernand;Saint-Quentin, 1850-?, 1921
348;Lenepveu, Jules-Eugène;Angers, 1819-Paris, 1898
349;Lepec, Charles;Paris, 1830-?, 1880
350;Lepic, Ludovic-Napoléon;Saint Péray, 1839-Paris, 1889
351;Lerolle, Henri;Paris, 1848-Paris, 1929
352;Leroux, Charles;Nantes, 1814-Nantes, 1895
353;Leroux, Hector;Verdun, 1829-Angers, 1900
354;Leroux, Eugène;Paris, 1833-?, 1905
355;Lévy, Émile;Paris, 1826-Paris, 1890
356;Lévy, Henri-Léopold;Nancy, 1840-Paris, 1904
357;Lhermitte, Léon;Mont Saint Père, 1844-Paris, 1925
358;Lix, Frédéric-Théodore;Strasbourg, 1830-Paris, 1897
359;Lobin, Julien-Léopold;Loches, 1814-Tours, 1864
360;Lobrichon, Timoléon;Cornod, 1831-Paris, 1914
361;Loir, Luigi;Göritz, 1845-Paris, 1916
362;Lottier, Louis;La Haye du Puits, 1815-Mont Saint Père, 1892
363;Luminais, Évariste;Nantes, 1821-Paris, 1896
364;Machard, Jules;Sampans, 1839-Bellevue, 1900
365;Madarasz, Viktor von;Csetnek, 1830-Budapest, 1917
366;Magaud, Dominique-Antoine;Paris, 1817-Marseille, 1899
367;Maignan, Albert;Beaumont sur Sarthe, 1845-Saint Prix, 1908
368;Maillart, Diogène-Ulysse-Napoléon;Lachaussée du Bois de l'Ecu, 1840-Paris, 1926
369;Maillot, Théodore;Paris, 1826-Passy, 1888
370;Maisiat, Johanny;Lyon, 1824-Arceuil, 1910
371;Maison, Pierre-Eugène;Les Riceys, 1814-Paris, 1879
372;Marais, Adolphe;Honfleur, 1856-Honfleur, 1940
373;Marchal, Charles;Paris, 1825-Paris, 1877
374;Maréchal, Charles-Raphaël;Metz, 1825-Paris, 1888
375;Marquis, Pierre-Charles;Tonnerre, 1798-Paris, 1874
376;Marzocchi de Bellucci, Tito;Florence, 1800-Paris, 1871
377;Masuré, Jules;Braisne, 1819-?, 1910
378;Matejko, Jan;Cracovie, 1838-Cracovie, 1893
379;Mathey, Paul;Paris, 1844-Paris, 1929
380;Matout, Louis;Renwez, 1811-Paris, 1888
381;Mazerolle, Joseph;Paris, 1826-Paris, 1889
382;Médard, Eugène;Paris, 1847-Paris, 1887
383;Meissonier, Charles;Paris, 1848-Paris, 1917
384;Melin, Joseph;Paris, 1814-Paris, 1886
385;Mélingue, Lucien;Batignolles, 1841-Aix-les-Bains, 1889
386;Mengin, Auguste-Charles;Paris, 1853-?, 1933
387;Mercadé Fàbrega, Benito;La Bisbal, 1821-Barcelone, 1897
388;Merino, Ignacio;San Miguel de Piura (Perou), 1817-Paris, 1876
389;Merle, Hugues;La Sône, 1822-Paris, 1881
390;Merson, Luc-Olivier;Paris, 1846-Paris, 1920
391;Méry, Alfred-Émile;Paris, 1824-Paris, 1896
392;Mesdag, Hendrick-Willem;Groningen, 1831-La Haye, 1915
393;Meyer, Alfred;Paris, 1832-Paris, 1904
394;Meyerheim, Paul;Berlin, 1842-Berlin, 1915
395;Meynier, Jules-Joseph;Paris, 1826-?, 1903
396;Michel, Charles-Henri;Fins, 1817-Paris, 1905
397;Michel, Émile;Metz, 1818-Paris, 1905
398;Michel, Ernest;Montpellier, 1833-Montpellier, 1902
399;Millet, Jean-François;Gréville, 1814-Barbizon, 1875
400;Mols, Robert;Anvers, 1848-Anvers, 1903
401;Monchablon, Alphonse;Avillers, 1835-Paris, 1907
402;Monginot, Charles;Brienne le Château, 1825-Dienville, 1900
403;Montessuy, François;Lyon, 1803-Lyon, 1876
404;Montfort, Antoine-Alphonse;Paris, 1802-Paris, 1884
405;Monvoisin, Domenica;Rome, 1805-Paris, 1881
406;Moreau, Gustave;Paris, 1826-Paris, 1898
407;Moreau, Adrien;Troyes, 1843-Paris, 1906
408;Moreau de Tours, Georges;Ivry sur Seine, 1848-Bois le Roi, 1901
409;Morin, Eugénie;Rouen, 1837-Paris, 1874
410;Morot, Aimé;Nancy, 1850-Dinard, 1913
411;Mortemart-Boisse, Enguerrand de;Paris, 1817-?, 1885
412;Motte, Henri-Paul;Paris, 1846-Paris, 1922
413;Mouchot, Louis;Paris, 1830-Paris, 1891
414;Mouillon, Alfred;Paris, 1832-Paris, 1886
415;Munkacsy, Mihaly;Muncaks, 1844-Endenich, 1900
416;Muraton, Alphonse;Tours, 1824-La Source Macé les Ménars, 1911
417;Muraton, Euphémie;Beaugency, 1836-?, 1900
418;Mussini, Luigi;Berlin, 1813-Siène, 1888
419;Navlet, Victor;Chalons sur Marne, 1819-Paris, 1886
420;Nazon, François-Henri;Réalmont, 1821-Montauban, 1902
421;Nègre, Charles;Grasse, 1820-Grasse, 1880
422;Némoz, Jean-Baptiste-Augustin;Thodure, 1834-Paris, 1897
423;Noël, Jules;Nancy, 1810-Mustapha (Algérie), 1881
424;Olivié, Léon;Narbonne, 1832-Etretat, 1901
425;Ordinaire, Marcel;Maizières, 1848-Maizières, 1896
426;Pabst, Alfred;Heiteren les Colmar, 1821-Paris, 1898
427;Paris, Camille;Paris, 1834-Barbizon, 1901
428;Parrot, Philippe;Saint Martin d'Excidueuil, 1831-Paris, 1894
429;Pasini, Alberto;Busseto, 1826-Cavoretto, 1899
430;Passini, Ludwig;Vienne, 1832-Venise, 1903
431;Patrois, Isidore;Noyers sur Serein, 1815-Paris, 1884
432;Pelez, Fernand;Paris, 1843-Paris, 1913
433;Pelouse, Léon-Germain;Pierrelaye, 1838-Paris, 1891
434;Penne, Olivier de;Paris, 1831-Marlotte, 1897
435;Péraire, Emmanuel;Bordeaux, 1829-Paris, 1893
436;Pelez de Cordova, Fernand;Paris, 1820-?, 1899
437;Perrault, Léon;Poitiers, 1832-Royan, 1908
438;Perret, Aimé;Lyon, 1847-Bois le Roi, 1927
439;Petit, Savinien;Trémilly, 1815-Paris, 1878
440;Petit, Eugène;Paris, 1839-Paris, 1886
441;Pichon, Pierre-Auguste;Sorèze, 1805-Paris, 1900
442;Picou, Henri;Nantes, 1824-Nantes, 1895
443;Pille, Charles-Henri;Essonnes, 1844-Paris, 1897
444;Pils, Isidore;Paris, 1813-Douarnenez, 1875
445;Plassan, Antoine;Bordeaux, 1817-Paris, 1903
446;Pluyette, Auguste-Victor;Paris, 1820-?, 1871
447;Pointelin, Auguste;Arbois, 1839-Paris, 1933
448;Poirson, Maurice;Paris, 1850-Paris, 1882
449;Poncet, Jean-Baptiste;Saint Laurent de Mure, 1827-Lyon, 1901
450;Debat-Ponsan, Édouard-Bernard;Toulouse, 1847-Paris, 1913
451;Popelin, Claudius;Paris, 1825-Paris, 1892
452;Bonaparte, Princesse Mathilde;Trieste, 1820-Paris, 1904
453;Priou, Louis;Toulouse, 1845-?, 1921
454;Pron, Louis-Hector;Sézanne, 1817-Troyes, 1902
455;Protais, Alexandre;Paris, 1825-Paris, 1890
456;Puvis de Chavannes, Pierre;Lyon, 1824-Paris, 1898
457;Quantin, Jules;Paris, 1810-?, ?
458;Quost, Ernest;Avallon, 1844-Paris, 1931
459;Ranvier, Victor;Lyon, 1832-Chatillon sous Bagneux, 1896
