Certainty,Exposant,Match,Titre
100,"Feyen-Perrin, Augustin","Feyen-Perrin, Augustin",2
100,"Fichel, Eugène","Fichel, Eugène",45
100,"Flahaut, Léon","Flahaut, Léon",34
100,"Flameng, François","Flameng, François",6
100,"Flandrin, Hippolyte","Flandrin, Hippolyte",5
100,"Flandrin, Paul","Flandrin, Paul",35
100,"Fontaine, Edmé-Adolphe","Fontaine, Edmé-Adolphe",10
100,"Fortin, Charles","Fortin, Charles",43
100,"Foulongne, Alfred-Charles","Foulongne, Alfred-Charles",15
100,"Français, François-Louis","Français, François-Louis",46
100,"Fritel, Pierre","Fritel, Pierre",5
100,"Fromentin, Eugène","Fromentin, Eugène",55
100,"Frère, Théodore","Frère, Théodore",4
100,"Gaillard, Ferdinand","Gaillard, Ferdinand",11
100,"Gallait, Louis","Gallait, Louis",6
100,"Gavarni, Pierre","Gavarni, Pierre",4
100,"Geffroy, Edmond","Geffroy, Edmond",2
100,"Gendron, Auguste","Gendron, Auguste",30
100,"Genty, Emmanuel","Genty, Emmanuel",37
100,"Georges-Sauvage, Auguste-Albert","Georges-Sauvage, Auguste-Albert",8
100,"Gervex, Henri","Gervex, Henri",7
100,"Giacomotti, Félix","Giacomotti, Félix",2
100,"Gide, Théophile","Gide, Théophile",48
100,"Gigoux, Jean","Gigoux, Jean",34
100,"Ginain, Eugène","Ginain, Eugène",23
100,"Girard, Firmin","Girard, Firmin",29
100,"Giraud, Victor","Giraud, Victor",6
100,"Giron, Charles","Giron, Charles",5
100,"Giroux, Achille","Giroux, Achille",18
100,"Gisbert, Antonio","Gisbert, Antonio",11
100,"Gosselin, Charles","Gosselin, Charles",22
100,"Goubie, Jean-Richard","Goubie, Jean-Richard",18
100,"Goupil, Jules","Goupil, Jules",24
100,"Gratia, Charles-Louis","Gratia, Charles-Louis",9
100,"Groiseilliez, Marcelin de","Groiseilliez, Marcelin de",19
100,"Gros, Lucien","Gros, Lucien",3
100,"Grönland, Theude","Grönland, Theude",2
100,"Guay, Gabriel","Guay, Gabriel",6
100,"Gudin, Théodore","Gudin, Théodore",57
100,"Guignet, Adrien","Guignet, Adrien",5
100,"Guillaumet, Gustave","Guillaumet, Gustave",23
100,"Guillemin, Alexandre","Guillemin, Alexandre",1
100,"Guillou, Alfred","Guillou, Alfred",13
100,"Guérin, Jean-Michel-Prosper","Guérin, Jean-Michel-Prosper",11
100,"Gélibert, Jules","Gélibert, Jules",25
100,"Gérôme, Jean-Léon","Gérôme, Jean-Léon",10
100,"Haffner, Félix","Haffner, Félix",43
100,"Hamon, Jean-Louis","Hamon, Jean-Louis",39
100,"Hanoteau, Hector","Hanoteau, Hector",57
100,"Haquette, Georges","Haquette, Georges",10
100,"Hareux, Ernest-Victor","Hareux, Ernest-Victor",12
100,"Harpignies, Henri","Harpignies, Henri",19
100,"Heilbuth, Ferdinand","Heilbuth, Ferdinand",26
100,"Hennebicq, André","Hennebicq, André",4
100,"Henner, Jean-Jacques","Henner, Jean-Jacques",33
100,"Hermann-Léon, Charles","Hermann-Léon, Charles",11
100,"Herpin, Léon","Herpin, Léon",15
100,"Hesse, Alexandre","Hesse, Alexandre",12
100,"Hildebrandt, Frédéric","Hildebrandt, Frédéric",2
100,"Hillemacher, Ernest","Hillemacher, Ernest",15
100,"Hoguet, Charles","Hoguet, Charles",8
100,"Huet, Paul","Huet, Paul",76
100,"Hugrel, Pierre-Honoré","Hugrel, Pierre-Honoré",13
100,"Huguet, Victor-Pierre","Huguet, Victor-Pierre",16
100,"Humbert, Ferdinand","Humbert, Ferdinand",16
100,"Hébert, Ernest","Hébert, Ernest",5
100,"Hédouin, Edmond","Hédouin, Edmond",40
100,"Héreau, Jules","Héreau, Jules",27
100,"Jacquet, Gustave","Jacquet, Gustave",12
100,"Jadin, Godefroy","Jadin, Godefroy",21
100,"Jalabert, Charles","Jalabert, Charles",24
100,"Janmot, Louis","Janmot, Louis",40
100,"Japy, Louis","Japy, Louis",18
100,"Jeannin, Georges","Jeannin, Georges",13
100,"Jobbé-Duval, Félix","Jobbé-Duval, Félix",51
100,"Johannot, Tony","Johannot, Tony",21
100,"Jonghe, Gustave de","Jonghe, Gustave de",2
100,"Jourdain, Roger","Jourdain, Roger",9
100,"Jourdan, Adolphe","Jourdan, Adolphe",41
100,"Joyant, Jules","Joyant, Jules",11
100,"Jundt, Gustave","Jundt, Gustave",36
